method,en,vi,zh,target,specificity,stability,score
gap_rate_top_0_5perc_LRP_kur_res_zscore_vi,-0.014701282452298514,0.35128468653648515,0.02857142857142847,vi,50.653277476177834,0.16328642315555789,43.543255098580595
gaprate_th_0.99_selected_LRP_kur_res_vi,0.12877697841726565,0.6369989722507707,-0.08571428571428541,vi,29.584711796694865,0.3030604176367258,22.704021545179536
gap_rate_top_0_5perc_LRP_kur_res_vi,0.11449126413155142,0.23699897225077038,-0.07142857142857117,vi,11.00715479238113,0.12679899820117704,9.768516665308509
gap_rate_bottom_0_0_1perc_LRP_kur_res_zh,-0.08550873586844787,0.051284686536484436,-0.1701863354037263,zh,9.945429496507664,0.09124579127922834,9.113830794113756
mask_vi,0.05818874312314826,-0.21144823271817348,-0.18571428571428594,vi,3.3161712012128297,0.12149760959940581,2.956913303094201
gap_rate_top_1perc_LRP_kur_res_zscore_vi,0.22877697841726619,0.6655704008221992,0.14865424430641827,vi,3.5268431729138014,0.22715889183189697,2.87399064325643
gap_rate_top_1perc_LRP_kur_res_vi,0.21449126413155195,0.6798561151079134,0.22857142857142865,vi,3.0688933896528274,0.21613282023824518,2.5234853780622575
bottom_0_0_1perc_LRP_kur_res_vi,0.21449126413155195,0.15128468653648497,-0.09999999999999964,vi,2.642728443200208,0.13582824953843647,2.3266972310946894
gap_rate_top_0_0_1perc_LRP_kur_res_en,0.3573484069886943,0.3369989722507709,-0.042857142857142705,en,2.429769226822814,0.18404988750228632,2.0520834911342556
gap_rate_bottom_0_0_1perc_LRP_kur_res_vi,0.157348406988695,0.04750317393144243,-0.11428571428571388,vi,2.2062323039929574,0.11156797400711267,1.9847929731545506
gap_rate_bottom_0_5perc_LRP_kur_res_zscore_zh,0.11449126413155142,-0.19157245632065756,-0.07142857142857117,zh,1.853333814211667,0.12590814081381088,1.6460790601194781
gap_rate_top_0_5perc_LRP_kur_res_zscore_zh,0.014071096064323996,0.0798561151079138,0.07142857142857117,zh,1.520934249570074,0.02922816792675807,1.4777425423886248
gap_rate_bottom_0_5perc_LRP_kur_res_vi,1.2171827755187152,3.508427543679342,2.1428571428571432,vi,2.0883249056707403,0.9411256936699999,1.0758318806869418
gap_rate_bottom_1perc_LRP_kur_res_vi,1.3287769784172658,3.738679644519678,2.2285714285714286,vi,2.1019474033835257,0.9942997388721008,1.053977675678936
gaprate_th_0.9_selected_LRP_kur_res_vi,1.34306269270298,3.03699897225077,2.071428571428571,vi,1.7788881092564903,0.6938029796710505,1.0502331915852243
gap_rate_top_1perc_LRP_kur_res_en,-0.043686789698675454,0.38275466583255113,-0.44554865424430634,en,1.391432674304342,0.33820303948007113,1.0397769495763154
gap_rate_top_0_1_perc_LRP_kur_res_zscore_vi,0.028776978417266008,-0.023042435616724255,-0.07142857142857117,vi,1.0804964032916986,0.040916747494197374,1.0380238437826863
gaprate_th_0.95_selected_LRP_kur_res_vi,0.34306269270298007,1.1798561151079134,1.2714285714285714,vi,1.4615825142005248,0.4177282411806215,1.0309327780501736
gap_rate_bottom_1perc_LRP_kur_res_zscore_vi,1.4490668334897299,3.826914938637325,2.438509316770187,vi,1.96879226079908,0.9752964341223808,0.9967072419050912
gap_rate_bottom_0_5perc_LRP_kur_res_zscore_vi,1.4144912641315521,3.585653216557189,2.442857142857143,vi,1.859128509869351,0.8867834177678335,0.985342828626722
gap_rate_top_1perc_LRP_kur_res_zscore_zh,0.07163412127440871,0.5798561151079138,0.3285714285714283,zh,1.0086764164239732,0.20748503790364317,0.8353531387644947
gaprate_th_0.9_selected_LRP_kur_res_en,6.999791471170889,6.179856115107913,5.742857142857143,en,1.1741943814261713,0.5210188731454591,0.7719788374472588
gap_rate_bottom_1perc_LRP_kur_res_zscore_zh,0.17163412127440925,0.6084275436793423,0.2999999999999998,zh,0.7691699407535605,0.18330116153395692,0.6500204392231451
bottom_0_5perc_LRP_kur_res_zh,0.10230639018197163,1.9914503180064642,1.185714285714286,zh,1.1326189616500404,0.7740117715062257,0.6384506460678046
gaprate_th_0.95_selected_LRP_kur_res_en,5.0573484069886945,5.965570400822199,4.785714285714286,en,0.9407895977145813,0.5045033573592685,0.6253157183815609
gap_rate_top_0_5perc_LRP_kur_res_zh,0.10020554984583718,0.9798561151079133,0.4285714285714288,zh,0.7936054663207144,0.36293924696485586,0.5822750119552306
gap_rate_top_0_0_1perc_LRP_kur_res_zscore_vi,0.25734840698869466,0.06557040082219956,-0.05714285714285694,vi,0.6550307353855348,0.12941840095195808,0.5799717224665598
gaprate_th_0.95_selected_LRP_kur_res_zh,7.028776978417266,6.179856115107913,5.742857142857143,zh,0.8695611564797961,0.5338772806759059,0.5669039938427293
gaprate_th_0.99_selected_LRP_kur_res_zh,7.028776978417266,6.179856115107913,5.742857142857143,zh,0.8695611564797961,0.5338772806759059,0.5669039938427293
gaprate_th_0.9_selected_LRP_kur_res_zh,7.028776978417266,6.179856115107913,5.742857142857143,zh,0.8695611564797961,0.5338772806759059,0.5669039938427293
bottom_0_0_1perc_LRP_kur_res_en,0.1430626927029799,0.3227132579650567,0.20000000000000018,en,0.547384957428013,0.07496275092902069,0.5092129536162472
gap_rate_top_1perc_LRP_kur_res_zh,-0.08716505056824175,1.4369989722507706,0.5285714285714285,zh,0.7831651172033495,0.6260500496778224,0.4816365384069955
bottom_1perc_LRP_kur_res_en,1.2287769784172662,2.4842039411948695,0.4285714285714288,en,0.8437155729442325,0.84603984722468,0.45704082401724266
gap_rate_bottom_1perc_LRP_kur_res_en,2.228776978417266,4.079856115107914,2.842857142857143,en,0.6439027268430851,0.7698307805398508,0.3638216342054328
gap_rate_bottom_0_5perc_LRP_kur_res_en,1.646424037240795,3.251284686536485,2.3,en,0.5931686534838236,0.6589285745809231,0.3575612974378172
gap_rate_bottom_0_5perc_LRP_kur_res_zscore_en,0.15921176102596135,0.7084275436793419,-0.02857142857142847,en,0.4683689763296457,0.31270646287419746,0.35679642751521334
gaprate_th_0.99_selected_LRP_kur_res_en,0.18591983556012348,0.8798561151079136,-0.07142857142857117,en,0.4599542220306268,0.4017625497578093,0.32812563162719377
bottom_1perc_LRP_kur_res_zh,0.6229798769679906,2.556667709310812,0.9022774327122152,zh,0.5675329749941481,0.8533699826048721,0.3062167728628542
gap_rate_bottom_0_1_perc_LRP_kur_res_en,1.3573484069886943,3.3102908977166092,2.0999999999999996,en,0.5017654050889958,0.8048685067062858,0.27800662664598774
bottom_0_1_perc_LRP_kur_res_zh,0.07163412127440871,0.19414182939362767,0.0327122153209114,zh,0.2461638291730302,0.06878515150762533,0.23032115371905398
gap_rate_top_0_5perc_LRP_kur_res_zscore_en,1.028776978417266,3.3798561151079136,2.2857142857142856,en,0.3631680138106792,0.960590723593558,0.1852339753730091
gap_rate_top_1perc_LRP_kur_res_zscore_en,1.1881972682723383,3.751284686536485,2.5428571428571427,en,0.37755655868696647,1.0469435736570938,0.18444893330030557
gap_rate_bottom_1perc_LRP_kur_res_zh,0.07163412127440871,1.3941418293936279,0.2142857142857144,zh,0.29238535570760155,0.5926809678984086,0.18358061758809927
gap_rate_bottom_1perc_LRP_kur_res_zscore_en,0.12877697841726565,1.0084275436793417,-0.014285714285714235,en,0.2590716375048744,0.4521792244265315,0.1784019721168937
bottom_1perc_LRP_kur_res_vi,0.12877697841726565,-0.037535189239912725,-0.677432712215321,vi,0.13682602147738998,0.3475473816283957,0.101537076426988
gap_rate_bottom_0_5perc_LRP_kur_res_zh,-0.014080164439876697,1.078406839745595,0.07142857142857117,zh,0.13422301957399263,0.4960784918949284,0.08971656253408615
gap_rate_top_0_1_perc_LRP_kur_res_en,-0.014080164439876697,0.12188510061515956,-0.40000000000000036,en,0.10125430520668621,0.22105422437450717,0.08292367626716528
gap_rate_bottom_0_1_perc_LRP_kur_res_zscore_vi,0.07163412127440871,-0.011320355480322064,-0.371428571428571,vi,0.07552078585650064,0.1923145346307845,0.06333965045547871
bottom_0_1_perc_LRP_kur_res_vi,-0.1741215723073708,-0.005858170606372504,-0.22857142857142865,vi,0.029094972520197302,0.0947971837794174,0.02657567351402635
bottom_0_5perc_LRP_kur_res_en,-0.0726722969450524,1.0798561151079138,0.07142857142857117,en,-0.1262455698967445,0.5127283135569425,-0.08345554767855036
gap_rate_bottom_0_1_perc_LRP_kur_res_zh,0.24306269270298042,0.7227132579650561,-0.07142857142857117,zh,-0.1479195457289403,0.3265358011959191,-0.1115081444432827
bottom_0_1_perc_LRP_kur_res_en,-0.04265159301130517,0.3798561151079136,-0.11428571428571388,en,-0.3212074061505558,0.21802659325753831,-0.26371132447240425
gap_rate_bottom_0_0_1perc_LRP_kur_res_en,-0.04265159301130517,0.3369989722507709,-0.14285714285714324,en,-0.4393858732109629,0.20667677263736683,-0.36412888950420536
gap_rate_bottom_0_0_1perc_LRP_kur_res_zscore_en,0.04306269270298024,0.15128468653648497,-0.34409937888198794,en,-0.44667443798899875,0.21265826574154054,-0.36834320979608987
gap_rate_bottom_0_0_1perc_LRP_kur_res_zscore_zh,0.22877697841726619,0.4227132579650563,-0.2136645962732917,zh,-0.6559256847823189,0.2663211513493735,-0.5179773583370806
gap_rate_top_0_5perc_LRP_kur_res_en,0.157348406988695,0.008427543679341731,-0.4571428571428573,en,-0.7013284783505548,0.2617319951028234,-0.5558458381594744
bottom_0_0_1perc_LRP_kur_res_zh,0.1430626927029799,0.26557040082219885,-0.1714285714285717,zh,-0.8390341641659875,0.18405343291552737,-0.708611740688096
gap_rate_top_0_0_1perc_LRP_kur_res_zscore_zh,0.11449126413155142,0.13699897225077073,-0.1122153209109733,zh,-0.8924029306358542,0.11255133966453372,-0.8021229212711563
gap_rate_bottom_0_1_perc_LRP_kur_res_zscore_en,0.11449126413155142,-0.08101345010947814,-0.15714285714285747,en,-0.9614800889992342,0.11440807845711326,-0.8627720020931593
gap_rate_top_0_1_perc_LRP_kur_res_zscore_zh,0.08591983556012295,0.35128468653648515,-0.242436974789916,zh,-1.1090322787010078,0.24284016466372374,-0.8923370118160605
gap_rate_bottom_0_1_perc_LRP_kur_res_zscore_zh,0.2896465436346576,-0.07728674203494368,-0.11428571428571388,zh,-1.0763402740197805,0.18232151974786856,-0.9103617383614158
bottom_0_5perc_LRP_kur_res_vi,0.32877697841726583,0.034928578876029626,-0.3857142857142861,vi,-1.226914049972927,0.2932168458030101,-0.9487303339379924
gap_rate_top_0_0_1perc_LRP_kur_res_zscore_en,0.05776248566364295,0.09414182939362803,-0.20000000000000018,en,-1.0913186246457234,0.13093016436455077,-0.9649743715686596
gap_rate_top_0_0_1perc_LRP_kur_res_zh,-0.014080164439876697,0.17985611510791344,-0.11428571428571388,zh,-1.3787971058190198,0.12209825212315918,-1.2287668243045136
mask_en,0.10020554984583718,0.0798561151079138,-0.20000000000000018,en,-1.6680926643377445,0.136974010842158,-1.4671335038715496
mask_zh,0.028776978417266008,-0.07728674203494368,0.042857142857142705,zh,-1.766949881034825,0.053626607102342766,-1.6770171416743602
gap_rate_top_0_0_1perc_LRP_kur_res_vi,0.05734840698869448,0.22333437597747885,-0.27142857142857135,vi,-2.0864557669448036,0.20559831861727507,-1.7306392475213483
gap_rate_top_0_1_perc_LRP_kur_res_zscore_en,0.2716341212744089,0.020435825252841155,-0.18571428571428594,en,-3.286987952161542,0.1870133737199309,-2.7691246155555853
gap_rate_bottom_0_0_1perc_LRP_kur_res_zscore_vi,0.11449126413155142,0.20884162235429038,-0.22857142857142865,vi,-3.6613141292848654,0.18794921841980028,-3.0820459936453464
gap_rate_top_0_1_perc_LRP_kur_res_zh,0.11573350015639683,-0.052027942863101195,-0.11428571428571388,zh,-3.587934342374801,0.09714180406845122,-3.270255794711244
gap_rate_top_0_1_perc_LRP_kur_res_vi,0.14471900740277288,0.2941418293936273,-0.2857142857142856,vi,-4.172364842848189,0.24581680481912346,-3.3490998248767108
gap_rate_bottom_0_1_perc_LRP_kur_res_vi,0.10020554984583718,-0.008549681993535785,-0.09999999999999964,vi,-83.18031235274259,0.0818352839584172,-76.88814885791784
gaprate_th_11_selected_LRP_kur_res_en_zscore,1.1002055498458372,3.6369989722507707,2.3428571428571425,,,,
org_model,0.0,0.0,0.0,,,,
